,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
199,HD 8535,b,20.905149000000002,-41.269801999999999,18.08930968453393,0.42770927212383075,55.28126929326573,1.3070875486044482,2.3644311451504163
200,HD 85390,b,147.51040599999999,-49.790267999999998,30.034133802664819,0.42023689566912958,33.295449989347574,0.46586915525390388,1.399197654343018
201,HD 86081,b,149.02465799999999,-3.8084220000000002,9.7220920722605655,0.37814956567506119,102.85851980904781,4.0007751729435217,3.8895904591771107
202,HD 87883,b,152.17974899999999,34.242260000000002,55.275101716331946,0.383018935481034,18.091328083518178,0.12536062365923942,0.69293212239872681
203,HD 90156,b,155.98031599999999,-29.645529,45.346804749570339,0.42847396969666446,22.052270397496418,0.20836801821475767,0.94488238380395317
204,HD 95086,b,164.26258899999999,-68.667343000000002,11.936982749260602,0.40578380331599806,83.773263395387062,2.8477743623177041,3.3993833436773042
205,HD 95127,b,164.89619400000001,43.814464999999998,1.3147275192757968,0.65604812684227753,760.61388032011303,379.54580254706673,49.899931143424645
206,HD 96127,b,166.441452,44.301558999999997,1.8708363833756718,0.88515247459767388,534.52028669425113,252.89862795824598,47.313195449007445
207,HD 96167,b,166.31279000000001,-10.291301000000001,11.712080963511504,0.40917067698800258,85.381923427225104,2.9828840425622438,3.4935779411255496
208,HD 97658,b,168.638184,25.710384000000001,46.437751236501832,0.37882788292442321,21.534203818507951,0.17567079855960149,0.81577568430283975
209,HD 98219,b,169.44813500000001,-23.975414000000001,8.7301790933492782,0.44690407416225381,114.54518736755448,5.8636495726916218,5.1190710910238826
210,HD 99706,b,172.12588500000001,43.966579000000003,6.7322431625504713,0.3732470990713605,148.5389009064188,8.2352512415141774,5.5441713862569104
211,HIP 14810,b,47.809291999999999,21.097359000000001,19.697521394538114,0.43071217147239588,50.767808800415267,1.1101048061501553,2.1866313169322265
212,HIP 14810,c,47.809291999999999,21.097359000000001,19.697521394538114,0.43071217147239588,50.767808800415267,1.1101048061501553,2.1866313169322265
213,HIP 14810,d,47.809291999999999,21.097359000000001,19.697521394538114,0.43071217147239588,50.767808800415267,1.1101048061501553,2.1866313169322265
214,HIP 41378,b,126.616043,10.080378,9.8321302483214712,0.42098689936441486,101.70735890838293,4.3548513483833853,4.2817465669383825
215,HIP 41378,c,126.616043,10.080378,9.8321302483214712,0.42098689936441486,101.70735890838293,4.3548513483833853,4.2817465669383825
216,HIP 41378,d,126.616043,10.080378,9.8321302483214712,0.42098689936441486,101.70735890838293,4.3548513483833853,4.2817465669383825
217,HIP 41378,e,126.616043,10.080378,9.8321302483214712,0.42098689936441486,101.70735890838293,4.3548513483833853,4.2817465669383825
218,HIP 41378,f,126.616043,10.080378,9.8321302483214712,0.42098689936441486,101.70735890838293,4.3548513483833853,4.2817465669383825
219,HIP 63242,b,194.383163,-65.646461000000002,6.1864815214178508,0.50966473732338868,161.64276843597759,13.316716267547624,8.2383619115147866
220,HIP 65407,b,201.08766199999999,48.885094000000002,16.112523325105851,0.38098002785849516,62.063525359919403,1.467489799302629,2.3644963620618515
221,HIP 65407,c,201.08766199999999,48.885094000000002,16.112523325105851,0.38098002785849516,62.063525359919403,1.467489799302629,2.3644963620618515
222,HIP 65891,b,202.605301,-58.664355999999998,6.5324207694198115,0.47752363735240927,153.08260678511326,11.190424773251163,7.3100563207415883
223,HIP 78530,b,240.481064,-21.980388999999999,7.0921561326123586,0.56808584852119925,141.0008439325849,11.294249953031287,8.0100584067647684
